Index,Company name,Rating,Company type,Sector,Old,Company location,Employees,Reviews
0,TCS,3.8, Public ,IT Services & Consulting , 55 years old , Mumbai +280 more, 1 Lakh+ Employees ,62.2k Reviews
1,Accenture,4.1, Public ,IT Services & Consulting , 34 years old , Dublin +141 more, 1 Lakh+ Employees ,39.7k Reviews
2,Wipro,3.8, Public ,IT Services & Consulting , 78 years old , Bangalore/Bengaluru +243 more, 1 Lakh+ Employees ,29.8k Reviews
3,ICICI Bank,4, Public ,Banking , 29 years old , Mumbai +1183 more, 1 Lakh+ Employees ,29.4k Reviews
4,HDFC Bank,3.9, Public ,Banking , 29 years old , Mumbai +1413 more, 1 Lakh+ Employees ,28.9k Reviews
5,Infosys,3.9, Public ,IT Services & Consulting , 42 years old , Bengaluru/Bangalore +135 more, 1 Lakh+ Employees ,27.2k Reviews
6,Capgemini,3.9, Public ,IT Services & Consulting , 56 years old , Paris +87 more, 1 Lakh+ Employees ,25.2k Reviews
7,Tech Mahindra,3.7, Public ,IT Services & Consulting , 37 years old , Pune +232 more, 1 Lakh+ Employees ,23.7k Reviews
8,HCLTech,3.7, Public ,IT Services & Consulting , 32 years old , Noida +150 more, 1 Lakh+ Employees ,22.9k Reviews
9,Genpact,4, Public ,IT Services & Consulting , 26 years old , New York +79 more, 50k-1 Lakh Employees ,22.9k Reviews
10,Axis Bank,3.8, Public ,Banking , 30 years old , Mumbai +1216 more, 50k-1 Lakh Employees ,19.4k Reviews
11,Concentrix Corporation,3.9, Public ,BPO , 40 years old , Fremont +82 more, 10k-50k Employees ,18.2k Reviews
12,Amazon,4.2, Public ,Internet , 29 years old , Seattle +390 more, 1 Lakh+ Employees ,17.6k Reviews
13,IBM,4.1, Public ,Software Product , 112 years old , Armonk +129 more, 50k-1 Lakh Employees ,17.5k Reviews
14,Reliance Jio,4, Public ,Telecom , 16 years old , Navi Mumbai +1084 more, 50k-1 Lakh Employees ,17.5k Reviews
15,Larsen & Toubro Limited,4, Public ,Engineering & Construction , 85 years old , Mumbai +572 more, 1 Lakh+ Employees ,16.6k Reviews
16,Vodafone Idea,4.2, Public ,Telecom , 5 years old , Gandhinagar +596 more, 10k-50k Employees ,14.2k Reviews
17,Kotak Mahindra Bank,3.8, Public ,Banking , 20 years old , Mumbai +505 more, 10k-50k Employees ,12.2k Reviews
18,Bharti Airtel,4, Public ,Telecom , 28 years old , Gurgaon/Gurugram +589 more, 10k-50k Employees ,10.7k Reviews
19,Tata Motors,4.2, Public ,Automobile , 78 years old , Pune +415 more, 10k-50k Employees ,9.9k Reviews
20,Flipkart,4.1, Public ,Internet , 16 years old , Bangalore +490 more, 10k-50k Employees ,8.6k Reviews
21,IndusInd Bank,3.7, Public ,Banking , 29 years old , Gurgaon/Gurugram +625 more, 10k-50k Employees ,7.9k Reviews
22,Mahindra & Mahindra,4.2, Public ,Automobile , 78 years old , Mumbai +439 more, 1 Lakh+ Employees ,7.8k Reviews
23,DXC Technology,3.9, Public ,IT Services & Consulting , 6 years old , Minato +59 more, 10k-50k Employees ,7.2k Reviews
24,IDFC FIRST Bank,4, Public ,Banking , 5 years old , Mumbai +493 more, 10k-50k Employees ,6.8k Reviews
25,Maruti Suzuki,4.2, Public ,Automobile , 40 years old , New Delhi +392 more, 10k-50k Employees ,6.6k Reviews
26,Bajaj Finserv,4, Public ,Insurance , 16 years old , Pune +776 more, 10k-50k Employees ,6.3k Reviews
27,Hinduja Global Solutions,4, Public ,Software Product , 23 years old , Bangalore/Bengaluru +85 more, 10k-50k Employees ,6.3k Reviews
28,Startek,3.2, Public ,BPO , 6 years old , Mumbai +58 more, 10k-50k Employees ,6k Reviews
29,Mphasis,3.6, Public ,IT Services & Consulting , 25 years old , Bangalore/Bengaluru +41 more, 10k-50k Employees ,5.9k Reviews
30,HDFC Life,4.1, Public ,Insurance , 1 years old , Mumbai +475 more, 10k-50k Employees ,5.6k Reviews
31,Yes Bank,3.9, Public ,Banking , 19 years old , Mumbai +406 more, 10k-50k Employees ,5.5k Reviews
32,Dr. Reddy's,4.2, Public ,Pharma , 39 years old , Hyderabad/Secunderabad +149 more, 10k-50k Employees ,5.5k Reviews
33,Asian Paints,4.1, Public ,Chemicals , 81 years old , Mumbai +374 more, 10k-50k Employees ,5.5k Reviews
34,Cipla Pharmaceutical,4.1, Public ,Pharma , 88 years old , Mumbai +202 more, 10k-50k Employees ,5.4k Reviews
35,Jana Small Finance Bank,3.8, Public ,Banking , 17 years old , Bangalore/Bengaluru +327 more, 10k-50k Employees ,5k Reviews
36,ICICI Prudential Life Insurance,4.1, Public ,Insurance , 23 years old , Mumbai +425 more, 10k-50k Employees ,5k Reviews
37,UltraTech Cement,4.2, Public ,Building Material , 40 years old , Mumbai +390 more, 10k-50k Employees ,4.9k Reviews
38,Lupin,4.1, Public ,Pharma , 55 years old , Mumbai +148 more, 10k-50k Employees ,4.9k Reviews
39,Bandhan Bank,3.8, Public ,Banking , 22 years old , Kolkata +657 more, 50k-1 Lakh Employees ,4.7k Reviews
40,Paytm,3.5, Public ,FinTech , 13 years old , Noida +268 more, 5k-10k Employees ,4.7k Reviews
41,L&T Infotech,3.8, Public ,IT Services & Consulting , 27 years old , Mumbai +72 more, 10k-50k Employees ,4.6k Reviews
42,ITC,3.9, Public ,FMCG , 48 years old , Kolkata +270 more, 10k-50k Employees ,4.5k Reviews
43,Indian Army,4.7, Public ,Defence & Aerospace , 128 years old , New Delhi +292 more, 1 Lakh+ Employees ,4.5k Reviews
44,Mindtree,4, Public ,IT Services & Consulting , 24 years old , Bangalore/Bengaluru +28 more, 10k-50k Employees ,4.4k Reviews
45,Hindustan Unilever,4.2, Public ,FMCG , 90 years old , Mumbai +396 more, 10k-50k Employees ,4.4k Reviews
46,Ujjivan Small Finance Bank,4.1, Public ,Banking , 6 years old , Bangalore/Bengaluru +400 more, 10k-50k Employees ,4.4k Reviews
47,Wells Fargo,4.2, Public ,Banking , 171 years old , San Francisco +18 more, 10k-50k Employees ,4.3k Reviews
48,IIFL Finance,3.8, Public ,Financial Services , 28 years old , Mumbai +590 more, 10k-50k Employees ,4.3k Reviews
49,Quess,3.9, Public ,Recruitment , 16 years old , Bangalore +446 more, 1 Lakh+ Employees ,4.1k Reviews
50,TATA Steel,4.1, Public ,Iron & Steel , 116 years old , Mumbai +136 more, 1 Lakh+ Employees ,4k Reviews
51,Sun Pharmaceutical Industries,4.1, Public ,Pharma , 40 years old , Mumbai +172 more, 10k-50k Employees ,4k Reviews
52,OPPO,3.9, Public ,Consumer Electronics & Appliances , 19 years old , Dongguan +351 more, 10k-50k Employees ,3.9k Reviews
53,JSW Steel,3.9, Public ,Iron & Steel , 41 years old , Mumbai +113 more, 10k-50k Employees ,3.9k Reviews
54,Ashok Leyland,4.1, Public ,Automobile , 75 years old , Chennai +200 more, 10k-50k Employees ,3.9k Reviews
55,Shriram Transport Finance,4.1, Public ,NBFC , 44 years old , Mumbai +737 more, 10k-50k Employees ,3.9k Reviews
56,Aurobindo Pharma,4, Public ,Pharma , 37 years old , Hyderabad/Secunderabad +56 more, 10k-50k Employees ,3.8k Reviews
57,Muthoot Finance,3.6, Public ,NBFC , 84 years old , Kochi/Cochin +555 more, 10k-50k Employees ,3.8k Reviews
58,eClerx,3.5, Public ,IT Services & Consulting , 23 years old , Mumbai +15 more, 10k-50k Employees ,3.8k Reviews
59,Oracle,3.9, Public ,Software Product , 46 years old , Austin +37 more, 50k-1 Lakh Employees ,3.8k Reviews
60,Zydus Cadila,4.2, Public ,Pharma , 71 years old , Ahmedabad +121 more, 10k-50k Employees ,3.8k Reviews
61,Siemens,4.2, Public ,Power , 176 years old , Munich +114 more, 5k-10k Employees ,3.8k Reviews
62,Apollo Hospitals,4.1, Public ,Healthcare , 40 years old , Chennai +168 more, 50k-1 Lakh Employees ,3.8k Reviews
63,Mahindra & Mahindra Financial Services,4.3, Public ,NBFC , 32 years old , Mumbai +604 more, 10k-50k Employees ,3.8k Reviews
64,Tata Projects,4.2, Public ,Engineering & Construction , 44 years old , Mumbai +221 more, 10k-50k Employees ,3.7k Reviews
65,First Source,3.9, Public ,BPO , 22 years old , Mumbai +49 more, 10k-50k Employees ,3.6k Reviews
66,Hero MotoCorp,4.2, Public ,Automobile , 39 years old , Gurgaon/Gurugram +288 more, 5k-10k Employees ,3.6k Reviews
67,JustDial,3.6, Public ,Internet , 27 years old , Mumbai +153 more, 10k-50k Employees ,3.6k Reviews
68,Cyient,3.7, Public ,IT Services & Consulting , 32 years old , Hyderabad/Secunderabad +27 more, 10k-50k Employees ,3.4k Reviews
69,L&T Construction,4, Public ,Engineering & Construction , 79 years old , Chennai +285 more, 10k-50k Employees ,3.4k Reviews
70,Reliance Communications,3.9, Public ,Telecom , 21 years old , Navi Mumbai +395 more, 10k-50k Employees ,3.3k Reviews
71,TVS Motor,4, Public ,Automobile , 44 years old , Chennai +250 more, 10k-50k Employees ,3.3k Reviews
72,Bosch,4.3, Public ,Auto Components , 137 years old , Gerlingen +92 more, 10k-50k Employees ,3.2k Reviews
73,Manappuram Finance,3.9, Public ,NBFC , 74 years old , Thrissur/Trichur +447 more, 10k-50k Employees ,3.1k Reviews
74,Coforge,3.6, Public ,IT Services & Consulting , 19 years old , Noida +78 more, 10k-50k Employees ,3k Reviews
75,ICICI Lombard General Insurance Company,3.8, Public ,Insurance , 22 years old , Mumbai +229 more, 10k-50k Employees ,3k Reviews
76,JBM Group,4, Public ,Auto Components , 40 years old , Gurgaon/Gurugram +75 more, 10k-50k Employees ,2.9k Reviews
77,Bajaj Auto,3.9, Public ,Automobile , 78 years old , Pune +223 more, 5k-10k Employees ,2.8k Reviews
78,Samvardhana Motherson Group,3.8, Public ,Auto Components , 37 years old , Noida +67 more, 5k-10k Employees ,2.8k Reviews
79,KEC International,4.1, Public ,Real Estate , 78 years old , Mumbai +241 more, 5k-10k Employees ,2.7k Reviews
80,Nagarjuna Construction Company,4.1, Public ,Engineering & Construction , 25 years old , Hyderabad/Secunderabad +198 more, 1k-5k Employees ,2.7k Reviews
81,L&T Technology Services,3.4, Public ,IT Services & Consulting , 11 years old , Vadodara/Baroda +33 more, 10k-50k Employees ,2.7k Reviews
82,Tata Communications,4.2, Public ,Telecom , 37 years old , Mumbai +82 more, 5k-10k Employees ,2.7k Reviews
83,LG Electronics,4, Public ,Consumer Electronics & Appliances , 65 years old , Seoul +223 more, 10k-50k Employees ,2.6k Reviews
84,L&T Finance,4, Public ,NBFC , 29 years old , Mumbai +438 more, 10k-50k Employees ,2.6k Reviews
85,Whitehat jr,3.6, Startup ,EdTech , 5 years old , Mumbai +47 more, 5k-10k Employees ,2.6k Reviews
86,Varun Beverages,4, Public ,Beverage , 28 years old , Gurgaon/Gurugram +245 more, 10k-50k Employees ,2.5k Reviews
87,Thermax Limited,4.2, Public ,Industrial Machinery , 43 years old , Pune +144 more, 5k-10k Employees ,2.5k Reviews
88,Ford Motor,4.5, Public ,Automobile , 120 years old , Dearborn +101 more, 5k-10k Employees ,2.5k Reviews
89,Subros,4, Public ,Auto Components , 38 years old , Noida +38 more, 1k-5k Employees ,2.5k Reviews
90,Macleods Pharmaceuticals,3.8, Public ,Pharma , 37 years old , Mumbai +82 more, 5k-10k Employees ,2.5k Reviews
91,Abbott Healthcare,4.2, Public ,Pharma , 32 years old , Illinois City +159 more, 1k-5k Employees ,2.5k Reviews
92,Havells,4.1, Public ,Electrical Equipment , 40 years old , Noida +156 more, 5k-10k Employees ,2.4k Reviews
